ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง
52,เซิ้งไทภูเขา,"ไทภูเขา คือ ชาวไทยกลุ่มหนึ่ง อาศัยอยู่ตามแถบเทือกเขาภูพาน
การแสดงชุดนี้สื่อถึงวิถีชีวิตของชาวภูไท ในการเดินทางขึ้นภูเขา 
เพื่อหาวัตถุดิบมาประกอบอาหาร เช่น การขุดหน่อไม้ เก็บใบย่านาง 
เก็บเห็ด ตัดหวาย เก็บผัก เมื่อเสร็จกิจกรรมก็กราบคารวะขอขมาผีภู
หรือเจ้าที่เจ้าทางบนภูเขา"
53,เซิ้งโปงลาง,"เซิ้งโปงลาง เป็นการแสดงของชายหนุ่มหญิงสาว หลังเสร็จสิ้นภารกิจการงาน
ก็จะมาร่วมพบปะสังสรรค์รื่นเริงและเกี้ยวพาราสีกันเป็นที่สนุกสนาน
ใช้ผู้แสดงชาย - หญิง มีโปงลางเป็นเครื่องดนตรีหลักในการดําเนินทํานอง"
54,เซิ้งสวิง,"เซิ้งสวิง เป็นการแสดงพื้นเมืองของภาคตะวันออกเฉียงเหนือ
ที่เกี่ยวกับอาชีพจับสัตว์น้ำ มีสวิงเป็นเครื่องมือที่นํามาประกอบการเซิ้ง
เข้ากับทํานองดนตรีที่มีจังหวะรุกเร้าสนุกสนาน ใช้ผู้แสดงชาย - หญิง 
ท่ารําเลียนแบบท่าทางธรรมชาติในการออกไปประกอบอาชีพจับปลา 
ความสวยงามของกระบวนท่ารําอยู่ที่ขั้นตอนในการจับปลาประดิษฐ์ให้มีความสนุกสนาน หยอกล้อกันระหว่างชายหญิง"
55,ฟ้อนภูไท,"ฟ้อนภูไท เป็นการร่ายรําของชาวภูไท ซึ่งมีเชื้อสายสืบต่อกันมา
ในดินแดนลุ่มแม่น้ำโขงและเทือกเขาภูพาน อันประกอบด้วยจังหวัด นครพนม
สกลนคร กาฬสินธุ์ มุกดาหาร นิยมฟ้อนในโอกาสรื่นเริงของวันนักขัตฤกษ์ 
โดยผู้ฟ้อนสวมเล็บที่ประดิษฐ์ขึ้น ส่วนปลายติดพู่สีแดง 
ก่อให้เกิดความสวยงามเมื่อเคลื่อนไหวมือ"
56,ฟ้อนภูไท 3 เผ่า,"ฟ้อนภูไท 3 เผ่า เป็นการแสดงลีลาการฟ้อนรําของชาวภูไทที่อาศัย 
อยู่บนเทือกเขาภูพาน 3 จังหวัด คือ กาฬสินธุ์ สกลนคร และนครพนม
ใช้ผู้แสดงชาย - หญิง ประกอบด้วยการแสดงฟ้อนมวยโบราณ 
ต่อสู้การแสดงเชิงมวย และการเกี้ยวพาราสีของชาย-หญิง 
ต่อมาใช้ผู้แสดงหญิงเท่านั้น"
57,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"ฟ้อนหมากกั๊บแก๊บลําเพลิน เป็นการแสดงที่รวมนาฏศิลป์พื้นบ้าน 
2 ประเภทเข้าด้วยกัน คือ หมากกับแก๊บ และลําเพลิน หมากกับแก๊บ
คือ เครื่องดนตรีประกอบจังหวะของภาคอีสาน มี 2 ชนิด คือ ไม้สั้น พื้นผิวเรียบ
ไม้ยาว พื้นผิวมีร่องฟันปลา เพื่อขูดกันทําให้เกิดเสียง สามารถเล่นได้ทุกโอกาสที่มี
การบรรเลงดนตรีพื้นบ้าน ลําเพลิน คือ การขับร้องอีกประเภทหนึ่งของชาวอีสาน
เมื่อนําทัง 2 ประเภท มารวมกันจึงเกิดเป็นการแสดงนาฏศิลป์พื้นบ้านของชาวอีสาน 
ที่มีความสนุกสนาน หยอกล้อกันระหว่างชายหญิง"
58,กราววีรชัยยักษ์,"กราววีรชยยักษ์ เป็นการแสดงของเสนายักษ์ กระบวนท่าทาง
การเต้นตามแบบการแสดงโขน ลีลาท่ารําแสดงให้เห็นพละกําลัง ความพร้อมเพรียง และความสง่างาม โดยนําท่าทางมาจากกระบวนการจัดทัพตรวจพล ของกองทัพยักษ์ฝ่ายลงกาจากเรื่องรามเกียรติ์"
59,กราววีรชัยลิง,"กราววีรชยลิง เป็นการแสดงการจัดพลของเหล่าวานรสิบแปดมงกุฎ 
ซึ่งเป็นเสนาวานรของกองทัพพระรามในเรื่องรามเกียรติ์
 กระบวนลีลาท่าทาง มีความคล่องแคล่ว ว่องไวและความเข้มแข็ง โดยนําท่าทางมาจากการรําตรวจพล ท่าทางการต่อสู้ และท่าทางเลียนแบบกิริยาอาการซุกซนของลิงมาสร้างสรรค์เป็นท่ารํา"
60,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"การแสดงโขน เรื่องรามเกียรติ์ ชุดยกรบ กล่าวถึงการทําสงคราม
ระหว่างกองทัพฝ่ายพระรามและฝ่ายทศกัณฐ์ แสดงถึงกระบวนการรบ
ระหว่างพระราม พระลักษมณ์ พร้อมด้วยไพร่พลวานร กับทศกัณฐ์เจ้ากรุงลงกา แสดงให้เห็นชั้นเชิงและลีลาการรบด้วยอาวุธ การต่อตัวของตัวละคร หรือที่เรียกว่า “การขึ้นลอย” "
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"หลังจากที่พระรามได้นำพลวานรจากเมืองขีดขิน และเมืองชมพู ยกทัพมาตั้งอยู่ตรงข้ามกับ 
เกาะกรุงลงกา พระรามจึงปรึกษาหาวิธีที่จะข้ามไปยังกรุงลงกา ข้าทหารทั้งหลายต่างทูลอาสาต่าง ๆ กันไป เช่น เหาะข้ามทะเลไปถึงกรุงลงกา โน้มพระเมรุบรรพตใช้เป็นทาง วิดน้ำในทะเลให้แห้งข้ามไป ให้ลิงขยายร่างใหญ่โต นำไพร่พลลิงใส่มือข้ามไป นิมิตเป็นสำเภาใหญ่ใช้ข้ามไป หรือเอาหางพาดเชื่อมสองฝั่ง ให้ไพร่พลลิง ไต่ข้ามไป ชามพูวราช กราบทูลพระรามว่า การจะทำสิ่งเหล่านั้นไม่สมพระเกียรติยศ สมควรให้ไพร่พลลิง
ไปขนหินมาทิ้งลงทะเล หรือ “จองถนน” ข้ามไปยังกรุงลงกา"
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"นนทก เป็นยักษ์ที่นั่งประจำอยู่เชิงบันไดเขาไกลลาศ มีหน้าที่ล้างเท้าให้เหล่าเทวดาที่มาเข้าเฝ้า
พระอิศวร แต่ถูกรังแกอยู่เป็นประจำ นนทกเข้าเฝ้าพระอิศวรแล้วกราบทูลขอนิ้วเพชร ที่มีฤทธิ์ชี้ผู้ใดก็ให้ผู้นั้น
ตาย พระอิศวรเห็นว่านนทกปฏิบัติหน้าที่รับใช้พระองค์มานาน จึงประทานพรให้ตามที่ขอ ไม่นานนักนนทก
ก็มีใจกำเริบไม่ปฏิบัติหน้าที่ พระอิศวรทรงทราบก็กริ้ว โปรดให้พระนารายณ์ไปปราบนนทก"
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,แสงอาทิตย์ ตัวละครฝ่ายลงกา เป็นโอรสองค์ที่สองของพญาขร เป็นอนุชาของมังกรกัณฐ์ มีอาวุธเป็นแว่นแก้วสุรกานต์ที่พระพรหมประทานให้ หากใช้ส่องไปที่ใครจะทำให้ผู้นั้นถึงแก่ความตาย ทศกัณฐ์สั่งให้แสงอาทิตย์ยกทัพออกไปรบกับพระราม พิเภกทูลพระรามว่าแสงอาทิตย์มีแว่นแก้วสุรกานต์เป็นอาวุธฝากไว้ที่พระพรหม กองทัพพระรามจึงวางอุบายเพื่อชิงแว่นแก้วสุรกานต์
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"""หนุมาน"" ทหารเอกของพระราม ถ่ายทอดเรื่องราวของหนุมานตั้งแต่การเตรียมการให้กำเนิดหนุมาน พระอิศวรมีบัญชาให้พระพายเป็นบิดา นำเทพศาสตราและพละกำลังของพระองค์ไปซัดใส่ปากนางสวาหะ               ให้บังเกิดบุตรเป็น วานรและประทานนามว่า “หนุมาน” นางสวาหะได้บอกกับหนุมนว่าหากมีผู้ใดแลเห็น               และมาทักทายถึง กุณฑล ขนเพชร เขี้ยวแก้วที่มีประจำกาย ผู้นั้นคือองค์พระนารายณ์ อวตารให้เข้าสวามิภักดิ์ฝากตัวเป็นข้ารับใช้ จนถึงถวายพลกับพระราม และร่วมกองทัพฝ่ายพลับพลายกทัพไปกรุงลงกา"
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กุมภกรรณ เป็นอนุชาของทศกัณฐ์ ดำรงตำแหน่ง อุปราชแห่งกรุงลงกา กุมกรรณเป็นพญายักษ์ 
ที่ครองธรรมรักษาไว้ซึ่งสัจจะและความสุจริตยุติธรรม หลังจากที่มัยราพณ์ พระนัดดาสิ้นชีพลง ทศกัณฐ์ ได้รำพึงถึงการศึกที่จะทำสงครามกับฝ่ายพระราม ทศกัณฐ์นึกถึงกุมภกรรณ จึงเชิญขึ้นมาเฝ้าปรึกษาศึก กุมภกรรณทูลให้ทศกัณฐ์ส่งนางสีดาคืนไป แต่ทศกัณฐ์กริ้ว จึงประกาศโทษและขับไล่ กุมภกรรณเห็นว่า เมื่อทัดทานมิเป็นผลจึงจำใจรับอาสาออกทำสงคราม โดยจะนำหอกโมกขศักดิ์อันมีฤทธิ์ร้ายกาจ ซึ่งฝากไว้กับพระพรหมสู้ศึกกับพระราม"
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"คืนหนึ่งทศกัณฐ์ฝันว่ามีพญาแร้งขนสีขาวบินมาจากทิศตะวันออก ร่อนมาที่หน้าพระลานวัง 
ทศกัณฐ์ตีกันกับแร้งดำที่มาจากทางทิศตะวันตก แร้งดำปราชัยกลายร่างเป็นยักษ์ มีกะลาน้ำมันยาง มีไส้กะลาวางเหนือมือทศกัณฐ์ มีหญิงนางหนึ่งวิ่งมาจุดไส้กะลา ไฟไหม้ติดมือ พิษร้อนแรงไปทั่วร่าง เมื่อตื่นขึ้นจึงเรียกพิเภกมาทำนาย พิเภกทำนายฝันว่า กะลาคือกรุงลงกา ไส้กะลาคือทศกัณฐ์ น้ำมันยางคือพระญาติวงศ์ทั้งหลาย เพลิงคือนางสีดา หญิงที่วิ่งมาจุดไฟคือนางสำมนักขา แร้งเผือกคือพระราม แร้งดำคือ ทศกัณฐ์ การศึกครั้งนี้ร้ายแรงนัก ทศกัณฐ์โกรธมากให้พิเภกสะเดาะเคราห์ แต่พิเภกบอกว่าสะเดาะไม่ได้ทำให้ร้ายกลายเป็นดี หนทางเดียว คือ คืนนางสีดาให้แก่พระราม ทศกัณฐ์โกรธพิเภกมากถึงขนาดตัดพี่ตัดน้อง ยึดเมียคือนางตรีชฎาไปเป็นทาสรับใช้นางสีดา ยึดสมบัติทั้งหมดแล้วขับไล่ออกไปจากเมือง"
67,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"พิเภก ทำนายฝันว่า ทศกัณฐ์ จะแพ้สงครามและถูกฆ่าตาย ควรจะสะเดาะเคราะห์โดยคืนนางสีดาไป
ให้แก่พระราม แต่ทศกัณฐ์โกรธจึงขับพิเภกออกไปจากกรุงลงกา เมื่อพิเภกออกจากกรุงลงกาแล้ว จึงไปอยู่ด้วย
กับกองทัพพระราม ทศกัณฐ์คิดหาทางยุติศึกชิงตัวนางสีดากับพระราม โดยคิดว่า ถ้าหากพระรามเห็นว่านางสี
ดาตายไปแล้ว พระรามคงจะยกทัพกลับไปเอง จึงให้นางเบญกายแปลงเป็นนางสีดา จำแลงกายเป็นศพลอย
ตามแม่น้ำไปที่หน้าพลับพลาของพระราม"
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,ปรศุรามเป็นอวตารของพระนารายณ์ ได้ยืมขวานจากพระอิศวรไปทำลายเหล่ากษัตริย์ เมื่อเสร็จภารกิจจะเข้าเฝ้าที่เขาไกรลาส ระหว่างนั้นบริเวณพระตำหนักชั้นในพระศิวะเทพกำลังสนทนาอยู่กับนางปารวตีพระคเณศ ไม่ยอมให้ปรศุรามเข้าพบ ปรศุรามโมโห เลยใช้ขวานของพระศิวะขว้างไปยังพระคเณศ พระองค์จำใจต้องใช้งาข้างซ้ายรับขวานนั้น ด้วยเหตุที่ท่านทรงมีความกตัญญูเป็นอย่างยิ่งในตัวพระบิดา แม้จะต่อสู้กันไปก็อาจทำได้ แต่การทำลายฤทธิ์เดชของอาวุธของบิดาตนเองนั้นไม่ใช่ทางที่ได้ประโยชน์แก่ฝ่ายใดจึงยอมสละงาเพื่อรักษาอาวุธของพระอิศวรด้วยความกตัญญู
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,กวางทอง คือ มารีศ พระยายักษ์เป็นลูกของนางกากนาสูร ซึ่งรับพระราชบัญชาของทศกัณฐ์แปลงกายเป็นกวางทองมาล่อหลอกให้นางสีดาอยากได้กวางทอง พระรามจึงเสด็จตามกวางทองไปในป่าตามกลอุบายของทศกัณฐ์
70,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,พาลีผู้ครองนครขีดขิน เมื่อใกล้จะตายได้เรียกสุครีพผู้เป็นอนุชา มาสั่งสอนให้รับใช้พระรามด้วยความจงรักภักดี พาลีได้สอนหลักปฏิบัติในการรับราชการว่า พระมหากษัตริย์ทรงเป็นสมมุติเทพ ผู้ที่จะเข้ารับใช้จึงต้องเจียมตน จึงสอนสุครีพเกี่ยวกับหลักราชการเป็นอเนกประการ
71,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"ทศกัณฐ์หลงใหลในความงามของนางสีดา จากการฟังคำบอกเล่าของนางสำมนักขา จึงสั่งให้มารีศ
จำกายเป็นกวางทองไปล่อหลอกนางสีดา เมื่อนางสีดาเห็นกวางทองก็ขอให้พระรามไปตามจับ พระรามพบว่า
มารีศเป็นยักษ์แปลงเป็นกวาง จึงยิงด้วยศร ก่อนตายมารีศแกล้งทำเสียงเป็นพระรามร้องขอความช่วยเหลือ
นางสีดาได้ยิน จึงให้พระลักษมณ์ตามไปช่วย ทศกัณฐ์แปลงเป็นฤาษีแดงเข้าไปลักตัวนางสีดากลับเข้ากรุงลงกา"
72,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"สองสารัณยักษ์ได้กราบทูลทศกัณฐ์ เรื่องที่มังกรกัณฐ์และแสงอาทิตย์ผู้เป็นหลาน ถูกฝ่ายพระราม
สังหารสิ้นชีวิต ทศกัณฐ์จึงใช้กาลสูรให้ไปแจ้งข่าวศึกแก่อินทรชิต กาลสูรรีบไปตามพระบัญชา ขณะนั้น
อินทรชิตกำลังทำพิธีชุบศรพรหมาสตร์จึงกริ้วโกรธที่กาลสูรมาทูลเรื่องร้ายให้เป็นลางกลางพิธี แต่ก็ไม่อาจขัด
รับสั่งได้จำต้องออกจากพิธี แล้วสั่งให้รุทการเตรียมจัดกองทัพ โดยตนเองแปลงตัวเป็นพระอินทร์ให้การุณราช
แปลงกายเป็นช้างเอราวัณ และไพร่พลแปลงตนเป็นเทวดานางฟ้า หมายจะล่อลวงฝ่ายพระรามให้หลงกล"
73,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,วิรุญจำบัง เป็นโอรสของพญาทูษณ์ กษัตริย์เมืองจารึกองค์ที่ 1 โอรสองค์ที่ 5 ของท้าวลัสเตียน กับนางรัชฎา น้องชายร่วมบิดามารดาของทศกัณฐ์ วิรุณจำบังมีม้าทรงคู่ใจตัวดำปากแดงชื่อ นิลพาหุ ซึ่งสามารถหายตัวได้ทั้งตนและม้า วิรุณจำบังรับอาสาทศกัณฐ์ยกทัพไปทำสงครามกับพระรามและพลวานร  ซึ่งกำลังมุ่งหน้ามาที่กรุงลงกา เพื่อทวงนางสีดาคืน โดยไปสมทบกับทัพของท้าวสัทธาสูร เจ้าเมืองอัสดง สหายอีกตนของทศกัณฐ์
74,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"วิรุญมุขเป็นโอรสวิรุญจำบัง ขณะที่อินทรชิตทำพิธีชุบศรนาคบาศที่เขาอังกาศ ทศกัณฐ์ให้มังกรกัณฐ์
มาขัดตาทัพแต่ถูกฆ่าตาย จึงให้วิรุญมุขไปขัดตาทัพอีกครั้ง วิรุญมุขนอกจากสามารถเหาะเหินเดินอากาศ ได้แล้วยังหายตัวพรางกายได้เป็นเยี่ยม เมื่อชามพูวราชรับอาสาพระรามไปทำลายพิธีอินทรชิต โดยแปลงร่างเป็นหมีไปกัดไม้โรงพิธีจนหักพังอินทรชิตจึงชุบศรไม่สำเร็จก็กลับมายังสมรภูมิรบร่วมกับวิรุญมุข วิรุญมุขได้ใช้วิชาหายตัวฆ่าพลลิงตายเป็นจำนวนมาก พิเภกจึงทูลพระลักษมณ์ว่าเหตุที่ลิงตายเพราะวิรุญมุขหายตัวฆ่าพลลิง พระลักษมณ์จึงแผลงศรเป็นข่ายเหล็กรัดตัววิรุญมุขแล้วบัญชาให้หนุมานสักหน้าวิรุญมุขก่อนปล่อยตัวไป"
75,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,ทศกัณฐ์ให้สัทธาสูร และวิรุญจำบัง ลูกพระยาทูษณ์ไปรบหนุมานออกอุบายให้การขออาวุธจากเทวดาของสัทธาสูรไม่เป็นผล สัทธาสูรถูกหนุมานฆ่าตาย ส่วนวิรุญจำบังสู้ไม่ได้ จึงทำอุบายเพื่อจะหนีได้เอาผ้ามาทำเป็นพยนต์ขี่ม้ามาต่อสู้แทน ส่วนตนจะหลบหนีไป ต่อมาพระรามรู้ว่าวิรุญจำบังที่รบอยู่ไม่ใช่ตัวจริง ก็แผลงศรพาลจันทร์เป็น ข่ายเพชรล้อมผ้าพยนต์ แล้วให้หนุมานตามไปฆ่า พบนางวานรินทร์ นางบอกทางให้หนุมานเหาะไปสุดเขาสัตภัณฑ์พบฟองน้ำใหญ่จึงจับไว้ วิรุญจำบังกลายเป็นรูปเดิมเข้าต่อสู้แต่แพ้ได้แหวกน้ำไปอยู่ใต้  ดินดาล หนุมานตามจนพบจับวิรุญจำบังฟาดกับภูเขาจนตาย
76,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,กุมภกรรณออกอุบายลวงสุครีพไปถอนต้นรังเพื่อหวังทอนกำลังสุครีพ บอกว่าถ้าสุครีพถอนต้นรังได้ ตนจะยอมถอยทัพ สุครีพไปถอนต้นรังจนหมดแรงกลับมาสู้กุมภกรรณไม่ได้ หนุมานกับองคตต้องมาช่วยสุครีพต่อสู้กับกุมภกรรณ ถึงเอาชนะได้
77,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,กุมภกรรณ อนุชาของทศกัณฐ์ จำต้องยอมออกศึกตามคำสั่งของทศกัณฐ์ผู้เป็นเชษฐา เมื่อยกทัพมาพบสุครีพ นายทัพหน้าฝ่ายพลับพลา กุมภกรรณออกอุบายลวงสุครีพไปถอนต้นรังเพื่อหวังทอนกำลังสุครีพ โดยบอกว่าถ้าถอนได้ตนจะยอมถอยทัพ สุครีพก็ไปถอนต้นรัง ตามคำท้าจนเหนื่อยจุกหมดแรง กลับมาสู้ กุมภกรรณไม่ได้ หนุมานกับองคตต้องมาช่วยรุมทึ้งกุมภกรรณถึงเอาชนะได้
78,กินนรีร่อนออกมโนราห์บูชายัญ,"ระบำกินรีร่อน เป็นการแสดงชุดหนึ่งในการแสดงละครชาตรีเรื่อง มโนราห์ ลักษณะกระบวนท่ารำ
แสดงถึงอากัปกิริยาของนางกินรีพี่น้องทั้ง 7 นาง ที่ชักชวนกันบินร่อนลงเล่นน้ำที่สระอโนดาต"
79,เมขลา รามสูร,"เมขลา รามสูร เป็นตัวละครที่ปรากฏในตำนานเทพนิยายของไทยมาแต่โบราณ
แสดงลีลาการไล่ติดตามระหว่างรามสูรกับนางเมขลา จากมูลเหตุที่นางเมขลา
เทพธิดาที่คอยชวยเหลือผู้คนในท้องทะเล เดินทางออกจากวิมานไปร่วมร่ายรํา
กับเหล่าเทวดานางฟ้าในช่วงวสันตฤดู (ฤดูฝน) พร้อมโยนดวงแก้วประจํากาย 
ให้เกิดแสงอย่างงดงาม ขณะเดียวกันรามสูรซึ่งเป็นอสูรเทพบุตรได้เหาะมาพบ
และเห็นแสงจากดวงแก้ว จึงไล่ติดตามเพื่อช่วงชิงดวงแก้วมาเป็นของตน "
80,รจนาเสี่ยงพวงมาลัย,"เป็นการแสดงที่มีลักษณะพิเศษตอนหนึ่ง ในบทละครเรื่องสังข์ทอง ซึ่งมีพระสังข์เป็นพระเอก และรจนา เป็นนางเอก ในตอนรจนาเสี่ยงพวงมาลัยนี้มีชื่อเรื่องว่า พระสังข์ซึ่งตัวจริง รูปร่างสวยงาม ผิวเป็นทองทั้งตัว แต่แกล้งปลอมแปลงตัวโดยเอารูปเงาะเข้าสวมใส่แล้วแกล้งทำเป็นบ้าใบ้ พระสังข์ในตอนนี้จึงถูกเรียบตามรูปนอกว่า “เจ้าเงาะ” แล้วถูกพามาให้เจ้ารจนา ซึ่งเป็นเจ้าหญิงเลือกคู่ เนื่องจากเป็นบุปเพสันนิวาส 
นางรจนาจึงมองเห็นรูปทองข้างในของเจ้าเงาะ แล้วทิ้งพวงมาลัยให้เพื่อเลือกพระสังข์ คือเจ้าเงาะปลอม เป็นสวามี"
81,ระบำกรับ,"ระบำกรับ เป็นระบำที่ใช้กรับพวงประกอบการแสดง 
ซึ่ง ""กรับพวง"" เป็นเครื่องดนตรีไทยชนิดหนึ่ง โดยผู้แสดงใช้มือขวา ถือกรับพวง ตีกระทบส่วนต่าง ๆ ของร่างกาย เช่น ฝ่ามือ ไหล่ ต้นขา เป็นต้น ร่ายรำตามท่วงทำนองและจังหวะของเพลงที่มีทั้งช้าและเร็ว"
82,ระบำกฤดาภินิหาร,"การแสดงชุดนี้อยู่ในตอนท้ายเรื่องเกียรติศักดิ์ไทย อันเป็นการร่ายรําของเหล่าเทวดานางฟ้า
ที่ได้ทราบถึงความเจริญรุ่งเรืองยิ่งใหญ่ของชาติไทย จึงเกิดความปิติยินดีชื่นชมโสมนัส ต่างพากันมาอวยชัยให้
พร ผู้แต่งบทร้องคือ นางสุดา บุษปฤกษ์ ผู้ประดิษฐ์ท่ารําคือ นางลมุล ยมะคุปต์ และนางศุภลักษณ์ ภัทรนาวิก
(หม่อมครูต่วน) ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทย กรมศิลปากร ด้วยความหมายอันเป็นมงคลของระบําชุดนี้
ต่อมาจึงนําออกแสดงในระบําชุดเอกเทศ มักใช้วงปี่พาทย์ไม้นวมในการบรรเลง แต่บางโอกาสก็คงใช้วงดุริยางค์
สากลบรรเลงอยู่ การแสดงระบําชุดนี้ยังเป็นที่นิยมแสดงกันอย่างแพร่หลาย"
83,ระบำกินรีร่อน,ระบำกินรีร่อน กล่าวถึงเหล่ากินรีที่มีลักษณะเป็นมนุษย์ผู้หญิง ซึ่งมีปีกหางประดุจนก พากันบินร่อนลงมาจากเขาไกรลาสเพื่อเล่นล่นน้ำในสระอโนดาต มีลีลาการเริงระบำอ่อนช้อยงดงาม สนุกสนาน ตามท่วงทำนองและจัะจังหวะเพลง
84,ระบำฉิ่ง,"ระบำฉิ่ง เป็นระบำที่ใช้ฉิ่งประกอบการแสดง ซึ่ง ""ฉิ่ง"" 
เป็นเครื่องดนตรีไทย ที่ใช้กำกับจังหวะในวงดนตรีไทยทุกประเภท โดยผู้แสดงใช้มือทั้งสองถือฉิ่ง ร่ายรำพร้อมกับตีกระทบให้เกิดเสียง ""ฉิ่ง"" ""ฉับ"" และ ""รัวฉิ่ง"" อย่างต่อเนื่อง ตามท่วงทำนอง จังหวะของเพลงที่ประกอบด้วยจังหวะช้าและจังหวะเร็ว"
85,ระบำชุดไทยพระราชนิยม,"ระบำชุดไทยพระราชนิยม สร้างสรรค์ขึ้นโดยนำเครื่องแต่งกายสำหรับสตรีไทย ตามแบบฉลองพระองค์ของสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ พระบรมราชชนนีพันปีหลวง ประกอบด้วย ไทยเรือนต้น ไทยจิตรลดา ไทยอมรินทร์ ไทยบรมพิมาน ไทยจักรี ไทยดุสิต ไทยจักรพรรดิ์ และไทยศิวาลัย ประดิษฐ์ลีลาท่ารำ
ตามบทร้องเพื่อการอนุรักษ์และเผยแพร่เครื่องแต่งกายสตรีไทย"
86,ระบำดาวดึงส์,"ระบำดาวดึงส์ เป็นระบำมาตรฐานที่อยู่ในละครดึกดำบรรพ์ 
เรื่องสังข์ทอง ผู้แสดงแต่งกายยืนเครื่องพระ นาง เปรียบเสมือนเทพบุตร เทพธิดา จับระบำด้วยลีลาท่ารำที่งดงาม บรรยายถึงทิพยวิมานอันยิ่งใหญ่ ซึ่งเป็นที่ประทับของพระอินทร์บนสวรรค์ชั้นดาวดึงส์"
87,ระบำเทพบันเทิง,"ระบำเทพบันเทิง เป็นระบำมาตรฐานที่อยู่ในละครในเรื่องอิเหนา 
ผู้แสดงแต่งกายยืนเครื่องพระ-นาง เปรียบเสมือนเทพบุตร เทพธิดา ร่ายรำด้วยลีลาท่ารำที่งดงามเพื่อบูชาชาถวายเทพผู้ศักดิ์สิทธิ์ คือ ""องค์ปะตาระกาหลา"" นอกจากนี้ สามารถจัดแสดงในงานต่างๆ เพื่อความเป็นสิริมงคล"
88,ระบำนพรัตน์,"ระบำนพรัตน์ เป็นระบำที่สร้างสรรค์จากความเชื่อในคุณค่า
ของอัญมณี ที่เสริมความเป็นสิริมงคลแก่ผู้ประดับ โดยผู้แสดงเปรียบเสมือนอัญมณี 9 ชนิด ประกอบด้วย เพชร ทับทิม มรกต บุษราคัม โกเมน นิล มุก เพทาย และไพฑูรย์"
89,ระบำพรหมาสตร์,"เป็นระบำของเหล่าเทวดา – นางฟ้า สำหรับแสดงประกอบการแสดงโขน เรื่องรามเกียรติ์ 
ชุดศึกพรหมาสตร์ เนื้อเรื่องกล่าวถึงอินทรชิตโอรสของทศกัณฐ์ กำลังทำสงครามติดพันอยู่กับพระลักษมณ์ จึงใช้กลยุทธลวงพระลักษมณ์และกองทัพวานร โดยอินทรชิตได้แปลงกายเป็นพระอินทร์ และให้การุณราชแปลงตัวเป็นช้างเอราวัณ ซึ่งเป็นพาหนะทรงของตน อีกทั้งให้บรรดาพลยักษ์นักรบในกองทัพแปลงกายเป็นเทพบุตร และนางฟ้า พากันเหาะฟ้อนรำ นำขบวนไปหน้าช้าง เพื่อลวงพระลักษมณ์ และกองทัพวานร ว่าขบวนเสด็จของพระอินทร์กำลังเสด็จผ่านมาในกลางอากาศ "
90,ระบำย่องหงิด,ระบำย่องหงิดเป็นระบำที่อยู่ในละครในเรื่องอุณรุท ตอนศุภลักษณ์วาดรูปซึ่งมีเนื้อเรื่องกล่าวถึง นางศุภลักษณ์พี่เลี้ยงของนางอุษาได้ขออาสาขึ้นไปวาดรูปเทพบุตรบนสวรรค์ขณะที่นางศุภลักษณ์ขึ้นไปบนสวรรค์นั้น ได้พบกับเหล่าเทพบุตรเทพธิดาจับระบำกันด้วยความรื่นเริง บันเทิงใจ ระบำย่องหงิด เป็นระบำที่มีกระบวนท่ารำที่งดงามและมีการแปรแถวที่สอดประสานกันได้อย่างกลมกลืนตามรูปแบบนาฏศิลป์ไทยท่วงท่าต่าง ๆ มีลีลางดงามตามคำร้อง และทำนองเพลงลักษณะการแสดงเป็นการรำเป็นหมู่คู่กันระหว่างเทวดาและนางฟ้า
